Topic,Explanation,Source,URL
AIDS and the African American Community, The AIDS epidemic was actually started by the U.S. government to disenfranchise and weaken the African American community.,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
Area 51,Area 51 is the center for testing crashed alien spacecraft and a meeting center for extraterrestrials.,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
"Barack Obama Citizenship (""birther"" conspiracy)",Former President Barack Obama was not born in the United States.,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
Biden-Ukraine ,Joe Biden  participated in corrupt activities involving Ukraine as well as influence-peddling to serve his son's career.,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
Deep State ,There are hidden figures within U.S. power structures such as the CIA and the FBI control U.S. policy instead of the nation's elected officials,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
Death Panel,"Government healthcare will lead to government control and ultimately result in panels of politicians and doctors to decide the fates of America's elderly, disabled, and physically vulnerable.",Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
FEMA Camps ,The Federal Emergency Management Agency is preparing concentration camps around the United States to hold its citizens once martial law is declared.,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
J.F.K. Assassination ,J.F.K was not killed by Lee Harvey Oswald.,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
Malcolm X Assassination ,Malcom X assassination was sponsored by the Nation of Islam.,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
Moon Landing ,"The July 20th, 1969 moon landing was a very expensive hoax created by the U.S. government.",Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
Pizzagate ,New York City Police Department (NYPD) had discovered a pedophilia ring linked to members of the Democratic Party while searching through Anthony Weiner's emails.,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
QAnon,"The western world is being run by a group of elite ""deep state"" Satan-worshipping pedophiles and that it is Trump's charge to defeat them, which he will supposedly do on a day dubbed ""The Storm"".",Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
Sandy Hook Elementary School Shooting ,"The school shooting at Sandy Hook Elementary on December 14th, 2012 was orchestrated by the U.S. government to promote the enforcement and strengthening of gun laws.",Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
Stop the Steal,The 2020 U.S. presidential election was rigged to support the election of Joe Biden.,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
Trump-Ukraine Affiliations,Voter fraud in the 2016 U.S. presidential election was sponsored by  Ukraine rather than Russia. ,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
"9/11 (""Truther"") ",Al-Qaeda was not entirely to blame for the 9/11 attack on the Twin Towers and that the U.S. government was partly responsible by not acting on advanced information that it had received regarding the attacks. ,Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
"New Orleans ""Levee Breach"" ","During the 2005 New Orleans levee breech, the levees were dynamited to divert waters away from wealthy white areas. ",Wikipedia,https://en.wikipedia.org/wiki/Conspiracy_theories_in_United_States_politics#List_of_conspiracy_theories
