Topic,Source,URL
Reproductive Rights,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Immigration,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Gun Control,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Same Sex Marriage,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Death Penalty,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Climate Change,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Drug Price Regularization,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Public Education,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Health-care Reform,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
Social Media Regulation,Bang et.al.(2024),https://arxiv.org/html/2403.18932v1#S3
