Category,Question,Answer,Source,URL
Voter Registration,How do you confirm your voter registration status?,"Check your voter registration online to confirm your voter registration number and if you are still registered. Verify your name, address, political party, and polling place.
How to check if you are registered to vote:
1. Visit Can I Vote and select ""voter registration status.""
2. Choose your state. You will be taken to a page on your state's election website.
3. Check to see if you are registered.",usa.gov,https://www.usa.gov/voting-and-elections
Voter Registration,What are the voter registration deadlines?,"Every state has its own voter registration deadline. Find yours to make sure you can register in time to vote.
Every state except North Dakota requires people to register if they want to become voters. Depending on your state, the deadline to register to vote could be as much as a month before an election.
Check your voter registration deadline by selecting your state on vote.gov. You can also check your state or territory's election office for more details.",usa.gov,https://www.usa.gov/voting-and-elections
Voter Registration,Can you print your voter registration online?,In some states you may be able to bring an electronic or printed copy of your voter registration when you go to the polling station to vote. Contact your state or local election office to find out if they accept copies as a valid form of voter ID and what other forms of ID they accept.,usa.gov,https://www.usa.gov/voting-and-elections
"How, when, and where to vote",Who can and cannot vote?,"You can vote in U.S. federal, state, and local elections if you:
Are a U.S. citizen (some areas allow non-citizens to vote in local elections only), including: 
U.S. citizens living outside of the United States. Learn more from the U.S. Department of State about voting as a U.S. citizen abroad.
U.S. citizens who were born abroad and have never lived in the United States. Your eligibility to vote is based on the state where your parents last lived or were registered to vote. Find out what states may permit you to vote absentee.
Dual citizens living in the United States or abroad
Meet your state’s residency requirements
You can be experiencing homelessness and still meet these requirements.
Are 18 years old on or before Election Day
In almost every state, you can register to vote before you turn 18 if you will be 18 by Election Day. 
Some states allow 17-year-olds who will be 18 by Election Day to vote in primaries.
Are registered to vote by your state's voter registration deadline. North Dakota does not require voter registration.
Non-citizens, including permanent legal residents, cannot vote in federal, state, and most local elections.
Some people cannot vote after being convicted of a felony or if they are currently serving time for other types of crimes. Rules are different in each state. Check this guide from vote.gov to understand the laws in your state.
Some people who have a mental disability may not be able to vote. Learn about your voting rights. Rules vary by state.
U.S. citizens residing in U.S. territories cannot vote for president in the general election.
Check with your state or local election office for any questions about who can and cannot vote.",usa.gov,https://www.usa.gov/voting-and-elections
"How, when, and where to vote",Do you have to vote for the party you are registered with?,"Do you have to choose a political party to vote?
Your state may give you the opportunity to declare your political party affiliation on your voter registration card.
You do not have to declare a political party or vote for the party you are registered with in a federal, state, or local general election.
Depending on your state’s rules, you may only be allowed to vote for the political party you are registered with. This may apply when you vote in:
A presidential primary or caucus
Congressional or local office primaries
Voting in the general election
In the general election, you are eligible to vote for any candidate from any party. It does not matter if you are registered with a political party or who you voted for in the past. And you can vote in the general election even if you did not vote in your state's primary or caucus.
Voting in primary and caucus elections
Primaries and caucuses are ways that political parties in each state choose a candidate to run for president or Congress. Political parties in states, towns, and cities may also use primaries to choose candidates for statewide or local office. Depending on your state's or locality's voting rules, its primary or caucus elections can be open, closed, or a combination of both. The type of primary or caucus can affect your voting eligibility:
During an open primary or caucus, people can vote for a candidate of any political party.
During a closed primary or caucus, only voters registered with that party can take part and vote.
""Semi-open"" and ""semi-closed"" primaries and caucuses are variations of the two main types.
Check which kind of primary elections your state has so you will know how you can vote in them.
Can you vote for both parties in a primary?
In most states, the political parties hold their primaries on the same day. In some states, the parties hold their primaries on separate dates. In most cases, the law specifically prohibits you from voting in both parties’ primaries, even if they are held on different days. Check with your state or local election office to learn more about the voting laws in your state.",usa.gov,https://www.usa.gov/voting-and-elections
"How, when, and where to vote",Can you vote in-person on Election Day if you received an absentee or vote-by-mail ballot?,"You might be able to vote in person on Election Day, even if you received a ballot in the mail. Every state has different rules, so check with your state or local election office for the specific procedures. Typically:
You would take the ballot you received in the mail to your designated polling place on Election Day.
Depending on your state's rules, you might be able to:
Exchange your uncast absentee ballot for an in-person ballot
Complete your absentee ballot and hand it in, or
Cast a provisional ballot",usa.gov,https://www.usa.gov/voting-and-elections
"How, when, and where to vote",What is the difference between absentee voting and vote-by-mail?,"States allow voters who cannot or do not want to vote in person to cast mail-in or drop off ballots through absentee voting or vote-by-mail programs. Absentee and mail-in ballots can be cast for both primary and general elections.

Absentee voting

Although most states have absentee voting, deadlines and rules on who can take part vary. Some states require an excuse to vote absentee. Others do not. In most states, you must request an absentee ballot to vote in each election. But in some states, you may qualify to sign up to receive absentee ballots for every election. Learn if your state offers permanent absentee voting.

Vote-by-mail

Instead of absentee voting programs, some states offer vote-by-mail (also known as all-mail) programs. They automatically send ballots to all registered voters in the state before Election Day. See which states offer vote-by-mail programs.",usa.gov,https://www.usa.gov/voting-and-elections
Decide who to vote for,Can I write-in a candidate for federal and state elections?,"You may decide to write in the name of a candidate who is not listed on your ballot. Learn where to get information on how to write in votes and if they count.
Besides the names on your ballot, you may be able to write in the names of other candidates. Most states let you write in votes for president, U.S. senator, and U.S. representative. They may also allow write-in votes for governor and other state offices.
But writing in a name does not mean that the vote will count. Many states require that write-in candidates file paperwork before the election. Otherwise, the state will not count the person's votes.
Learn more about write-in voting from the U.S. Election Assistance Commission, including:
How write-in candidates can run in an election
How to cast a write-in vote
How write-in votes are counted
Which states allow write-in voting and which do not
You can also check with your state election office to find out the rules for your state. If you check using your state's election website, enter ""write-in candidates"" in the search bar.",usa.gov,https://www.usa.gov/voting-and-elections
Voting and Election Laws,What are the voter ID requirements?,"Each state sets its own voter ID rules. And most require voters to bring identification to vote in person. Know the voter ID laws in your state before going to the polls.
Find out if you need to bring an ID to vote
Your state's voter ID laws determine whether you will need to show an ID and, if so, what kind.
Your state may require you to show a photo ID like a driver's license, state ID, or passport. Or they may ask to see another form of identification like your birth certificate, or Social Security card. If you are a registered voter and have a voter registration card, you are not required to bring it with you when you vote. But you can still use it as a form of identification.
Find out what ID your state requires you to bring when you vote. Or learn how to get a voter registration card.",usa.gov,https://www.usa.gov/voting-and-elections
Voting and Election Laws,Is voting mandatory in the U.S.?,"In the U.S., no one is required by law to vote in any local, state, or presidential election.",usa.gov,https://www.usa.gov/voting-and-elections
